credentialidentifier,stateofissuestateabbreviationdescriptorid,effectivedate,expirationdate,credentialfielddescriptorid,issuancedate,credentialtypedescriptorid,teachingcredentialdescriptorid,teachingcredentialbasisdescriptorid,namespace,discriminator,createdate,lastmodifieddate,id,changeversion
"554115575749","2222",,"1997-05-20","657","1996-05-20","674","2313",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.176590","2020-11-13 14:15:46.170071","7ebe9235-c47a-4b9e-a6ec-4cfcfd01cd8a","8830"
"224171576746","2222",,"2003-01-06","655","2000-10-28","671","2311",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.176597","2020-11-13 14:15:46.170082","f93605bd-5d68-4b13-ad53-740fa56e4e7a","8831"
"154173572745","2222",,,"655","1983-03-21","673","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.192003","2020-11-13 14:15:46.191856","b6d93bae-b5fa-41ae-a578-68b65e7f95dd","8834"
"364215576745","2222",,,"663","2013-06-10","674","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.191952","2020-11-13 14:15:46.191781","6060b60a-e3d5-4e6b-9ee4-181fcdfe0c71","8835"
"304194572749","2222",,,"660","1997-03-17","672","2313",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.209847","2020-11-13 14:15:46.209690","faa4c242-e0e6-439b-b514-eca5f1dde501","8838"
"614125572740","2222",,,"665","1994-09-29","674","2305",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.214043","2020-11-13 14:15:46.213861","66d49e94-45b4-437b-9444-5f1e8bba4291","8840"
"374202572747","2222",,"2008-12-28","664","2005-09-15","670","2304",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.213985","2020-11-13 14:15:46.213754","47f4f6bc-d86c-4f49-babe-0dc9e965f85d","8841"
"414204572747","2222",,"2005-08-27","664","2004-08-27","672","2304",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.219297","2020-11-13 14:15:46.219135","d166a382-9bee-43cc-9f3f-5d388d677500","8842"
"514194569745","2222",,"2005-04-05","660","2003-03-17","672","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.220141","2020-11-13 14:15:46.219981","5c958d6a-7f10-4eb5-9da4-493be235d2ac","8843"
"234183569745","2222",,,"656","2010-03-05","673","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.223516","2020-11-13 14:15:46.223380","0124b2dc-48b4-41f4-83c5-017c9c05a9d3","8844"
"644183569743","2222",,,"656","1994-12-03","673","2310",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.224031","2020-11-13 14:15:46.223910","18078b9a-dc46-4c5c-8db4-c5caee21e1d6","8845"
"384215574749","2222",,,"663","1999-08-14","674","2313",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.229083","2020-11-13 14:15:46.228901","3d93b98d-84dd-4c3a-a2db-e184e10eb5db","8846"
"184114569744","2222",,,"657","1997-01-29","672","2309",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.229523","2020-11-13 14:15:46.229293","503e0264-f5e4-4f1c-908e-a6a22b38083b","8847"
"624134574744","2222",,"2011-08-17","666","2009-07-28","672","2309",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.232935","2020-11-13 14:15:46.232776","3f8341ba-65fe-42eb-957d-ce78c0da08d3","8848"
"254161574752","2222",,"2010-07-04","662","2009-07-04","671","2317",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.233650","2020-11-13 14:15:46.233523","c1fe742c-963c-4081-8ace-66c5b2113548","8849"
"354194578741","2222",,,"660","2014-03-20","672","2306",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.237986","2020-11-13 14:15:46.237587","450a5af0-cd99-453a-b6fe-d374260ad78f","8850"
"484175583745","2222",,"2013-01-16","655","2010-12-28","674","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.238859","2020-11-13 14:15:46.238730","aecdc971-69a1-4244-87c6-7c9b8fe09179","8851"
