addresstypedescriptorid,city,parentusi,postalcode,stateabbreviationdescriptorid,streetnumbername,apartmentroomsuitenumber,buildingsitenumber,nameofcounty,countyfipscode,latitude,longitude,donotpublishindicator,congressionaldistrict,localedescriptorid,createdate
"90","Grand Bend","4","78834","2222","263 New Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.692442"
"90","Grand Bend","2","78834","2222","54 Rocky Clarendon Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.692439"
"90","Grand Bend","6","78834","2222","552 Rocky Old Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.727209"
"90","Grand Bend","9","78834","2222","26 North Fabien St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.751412"
"90","Grand Bend","11","78834","2222","22 Oak Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.755105"
"90","Grand Bend","12","78834","2222","22 Oak Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.764286"
"90","Grand Bend","13","78834","2222","452 Oak St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.776428"
"90","Grand Bend","15","78834","2222","38 Milton Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.777725"
"90","Grand Bend","17","78834","2222","24 Hague Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.799702"
"90","Grand Bend","19","78834","2222","24 Hague Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.800559"
"90","Grand Bend","20","78834","2222","86 Old Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.820787"
"90","Grand Bend","22","78834","2222","72 South Green Second Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.823357"
"90","Grand Bend","24","78834","2222","317 White Nobel Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.841906"
"90","Grand Bend","25","78834","2222","856 South Green Milton Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.844563"
"90","Grand Bend","28","78834","2222","78 Rocky Second Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.871203"
"90","Grand Bend","29","78834","2222","82 Second Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.878078"
"90","Grand Bend","31","78834","2222","82 Second Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.893498"
"90","Grand Bend","33","78834","2222","926 Rocky Fabien Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.897304"
"90","Grand Bend","34","78834","2222","99 First Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.901174"
"90","Grand Bend","35","78834","2222","78 Rocky Nobel Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.913411"
"90","Grand Bend","37","78834","2222","16 Green Fabien St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.920402"
"90","Grand Bend","39","78834","2222","28 Oak Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.935392"
"90","Grand Bend","41","78834","2222","83 West Clarendon Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.941523"
"90","Grand Bend","43","78834","2222","851 Old St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.959058"
"90","Grand Bend","45","78834","2222","200 Fabien Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.961618"
"90","Grand Bend","47","78834","2222","20 White Milton Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.979948"
"90","Grand Bend","49","78834","2222","62 Nobel Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.983080"
"90","Grand Bend","51","78834","2222","992 North Green New Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.999810"
"90","Grand Bend","52","78834","2222","992 North Green New Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.000095"
"90","Grand Bend","54","78834","2222","58 Oak Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.008555"
"90","Grand Bend","55","78834","2222","79 New Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.020377"
"90","Grand Bend","56","78834","2222","79 New Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.021872"
"90","Grand Bend","57","78834","2222","17 South Hague Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.028128"
"90","Grand Bend","58","78834","2222","17 South Hague Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.029715"
"90","Grand Bend","60","78834","2222","60 Hague Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.042632"
"90","Grand Bend","61","78834","2222","74 Rocky Nobel St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.049111"
"90","Grand Bend","62","78834","2222","60 Hague Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.051928"
"90","Grand Bend","63","78834","2222","74 Rocky Nobel St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.061133"
"90","Grand Bend","66","78834","2222","316 East Rocky Milton Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.084092"
"90","Grand Bend","68","78834","2222","316 East Rocky Milton Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.109139"
"90","Grand Bend","69","78834","2222","890 Second Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.112656"
"90","Grand Bend","71","78834","2222","724 New St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.122096"
"90","Grand Bend","73","78834","2222","67 White Hague Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.135093"
"90","Grand Bend","74","78834","2222","67 White Hague Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.141258"
"90","Grand Bend","77","78834","2222","590 Old Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.156393"
"90","Grand Bend","78","78834","2222","98 West Cowley Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.166009"
"90","Grand Bend","80","78834","2222","681 New Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.182462"
"90","Grand Bend","83","78834","2222","375 Oak Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.194377"
"90","Grand Bend","82","78834","2222","69 Oak Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.194604"
"90","Grand Bend","84","78834","2222","375 Oak Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.200892"
"90","Grand Bend","85","78834","2222","83 Nobel Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.207568"
"90","Grand Bend","86","78834","2222","329 Oak Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.213748"
"90","Grand Bend","88","78834","2222","868 White Cowley Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.223405"
"90","Grand Bend","89","78834","2222","805 White Second Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.228293"
"90","Grand Bend","90","78834","2222","930 White Oak St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.234692"
"90","Grand Bend","91","78834","2222","930 White Oak St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.235712"
"90","Grand Bend","92","78834","2222","325 South Second Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.245159"
"90","Grand Bend","93","78834","2222","325 South Second Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.248431"
"90","Grand Bend","94","78834","2222","455 Milton Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.255128"
"90","Grand Bend","96","78834","2222","345 North Green Cowley Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.267356"
"90","Grand Bend","97","78834","2222","345 North Green Cowley Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.270676"
"90","Grand Bend","98","78834","2222","274 Green Clarendon Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.277737"
"90","Grand Bend","99","78834","2222","27 Oak St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.284119"
"90","Grand Bend","101","78834","2222","78 Hague Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.291991"
"90","Grand Bend","102","78834","2222","78 Hague Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.302396"
"90","Grand Bend","104","78834","2222","398 Cowley Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.310512"
"90","Grand Bend","105","78834","2222","758 Milton Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.311642"
"90","Grand Bend","106","78834","2222","15 White First Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.328035"
"90","Grand Bend","107","78834","2222","15 White First Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.331363"
"90","Grand Bend","108","78834","2222","16 Green Hague Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.333196"
"90","Grand Bend","109","78834","2222","16 Green Hague Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.339127"
"90","Grand Bend","110","78834","2222","459 Nobel Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.350402"
"90","Grand Bend","112","78834","2222","688 North Green Clarendon Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.353951"
"90","Grand Bend","113","78834","2222","688 North Green Clarendon Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.360314"
"90","Grand Bend","114","78834","2222","203 Oak Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.373892"
"90","Grand Bend","3","78834","2222","54 Rocky Clarendon Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.692435"
"90","Grand Bend","26","78834","2222","86 Old Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.845125"
"90","Grand Bend","36","78834","2222","16 Green Fabien St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.914826"
"90","Grand Bend","40","78834","2222","28 Oak Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.935862"
"90","Grand Bend","46","78834","2222","20 White Milton Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:47.963487"
"90","Grand Bend","116","78834","2222","56 Old Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.375967"
"90","Grand Bend","128","78834","2222","349 Oak Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.450703"
"90","Grand Bend","130","78834","2222","82 Green New Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.471069"
"90","Grand Bend","158","78834","2222","943 Rocky Oak Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.632759"
"90","Grand Bend","175","78834","2222","28 Old Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.724979"
"94","Grand Bend","180","78834","2222","293 Rocky Cowley Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.760058"
"90","Grand Bend","194","78834","2222","85 White Cowley Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.859014"
"90","Grand Bend","199","78834","2222","89 East Green Milton Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.892569"
"90","Grand Bend","213","78834","2222","720 White Milton Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.974399"
"94","Grand Bend","230","78834","2222","50 Fabien Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.077586"
"94","Grand Bend","240","78834","2222","39 Fabien Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.140755"
"94","Grand Bend","248","78834","2222","201 First Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.189171"
"90","Grand Bend","252","78834","2222","631 Rocky First Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.210520"
"94","Grand Bend","264","78834","2222","756 Nobel Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.275604"
"94","Grand Bend","272","78834","2222","51 South Clarendon Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.328757"
"94","Grand Bend","278","78834","2222","130 Green Nobel Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.350870"
"94","Grand Bend","282","78834","2222","88 Green Hague Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.372964"
"90","Grand Bend","355","78834","2222","573 North Milton Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.794374"
"94","Grand Bend","359","78834","2222","191 West White Hague Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.814678"
"94","Grand Bend","363","78834","2222","796 Milton Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.835645"
"94","Grand Bend","371","78834","2222","944 West Green Fabien Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.878956"
"90","Grand Bend","374","78834","2222","91 West White Old Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.901556"
"94","Grand Bend","410","78834","2222","97 Cowley Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.098716"
"90","Grand Bend","432","78834","2222","949 New Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.222000"
"94","Grand Bend","438","78834","2222","27 West White Clarendon Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.250263"
"90","Grand Bend","442","78834","2222","56 Old Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.273753"
"91","Grand Bend","449","78834","2222","15 Fabien Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.317261"
"90","Grand Bend","468","78834","2222","35 Green Nobel Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.433400"
"91","Grand Bend","488","78834","2222","493 Green Second Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.540305"
"94","Grand Bend","500","78834","2222","81 Rocky First St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.603262"
"90","Grand Bend","516","78834","2222","900 Fabien Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.688887"
"90","Grand Bend","528","78834","2222","82 Rocky Fabien Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.754954"
"91","Grand Bend","547","78834","2222","17 White Clarendon Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:51.120289"
"91","Grand Bend","552","78834","2222","866 West Milton Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:51.145537"
"90","Grand Bend","554","78834","2222","58 Oak Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:51.166085"
"91","Grand Bend","562","78834","2222","27 North New Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:51.216060"
"90","Grand Bend","595","78834","2222","55 East Rocky Second St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:51.406463"
"90","Grand Bend","606","78834","2222","53 South Oak Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:51.467122"
"91","Grand Bend","625","78834","2222","522 South Second Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:51.574858"
"90","Grand Bend","651","78834","2222","58 New Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:51.718650"
"90","Grand Bend","657","78834","2222","25 Green First St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:51.760892"
"91","Grand Bend","661","78834","2222","68 Green Milton Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:52.008655"
"90","Grand Bend","662","78834","2222","64 North Second Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:52.027770"
"90","Grand Bend","676","78834","2222","193 Rocky Old St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:52.098009"
"90","Grand Bend","681","78834","2222","92 Rocky Hague Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:52.351137"
"93","Grand Bend","686","78834","2222","569 New Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:52.391524"
"90","Grand Bend","712","78834","2222","56 Clarendon Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:52.536032"
"93","Grand Bend","728","78834","2222","546 North Fabien Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:52.626459"
"93","Grand Bend","770","78834","2222","58 Rocky Second Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:52.868875"
"93","Grand Bend","774","78834","2222","74 South White Hague Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:52.889215"
"93","Grand Bend","776","78834","2222","919 Rocky Second Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:52.905961"
"93","Grand Bend","802","78834","2222","32 Cowley Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:53.042350"
"90","Grand Bend","811","78834","2222","58 Old Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:53.088491"
"90","Grand Bend","815","78834","2222","760 Rocky Old Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:53.325727"
"93","Grand Bend","848","78834","2222","47 South Rocky Hague Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:53.507884"
"90","Grand Bend","856","78834","2222","963 First Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:53.549595"
"93","Grand Bend","861","78834","2222","619 Cowley St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:53.576065"
"93","Grand Bend","863","78834","2222","23 Fabien Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:53.591414"
"90","Grand Bend","872","78834","2222","37 Fabien Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:53.637485"
"93","Grand Bend","889","78834","2222","660 New Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:53.732396"
"90","Grand Bend","897","78834","2222","90 East Hague Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:53.775810"
"90","Grand Bend","912","78834","2222","418 White Fabien Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:54.079262"
"93","Grand Bend","921","78834","2222","337 East New Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:54.132057"
"90","Grand Bend","946","78834","2222","661 Rocky Old Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:54.260818"
"93","Grand Bend","950","78834","2222","107 Milton Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:54.285922"
"93","Grand Bend","964","78834","2222","23 White Nobel Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:54.363956"
"93","Grand Bend","979","78834","2222","29 Green Hague Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:54.450610"
"93","Grand Bend","991","78834","2222","31 North Fabien Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:54.512623"
