electronicmailaddress,electronicmailtypedescriptorid,parentusi,primaryemailaddressindicator,donotpublishindicator,createdate
"ENguyen@example1.com","855","69",,,"2020-11-13 14:15:48.112716"
"Cabrera@example5.com","856","95",,,"2020-11-13 14:15:48.259548"
"ELeon@example1.com","853","99",,,"2020-11-13 14:15:48.284175"
"Best@example5.com","853","103",,,"2020-11-13 14:15:48.307730"
"Camacho@example1.com","855","115",,,"2020-11-13 14:15:48.375438"
"Franco@example1.com","853","165",,,"2020-11-13 14:15:48.674129"
"Stokes@example1.com","853","192",,,"2020-11-13 14:15:48.848482"
"Billy.Phillips@example5.com","856","194",,,"2020-11-13 14:15:48.859084"
"TAllison@example3.com","856","195",,,"2020-11-13 14:15:48.866219"
"Rivers@example1.com","855","199",,,"2020-11-13 14:15:48.892631"
"Sanders@example1.com","855","212",,,"2020-11-13 14:15:48.969738"
"Fritz@example1.com","856","224",,,"2020-11-13 14:15:49.053096"
"Annette.Swanson@example5.com","856","234",,,"2020-11-13 14:15:49.098932"
"LPena@example4.com","853","264",,,"2020-11-13 14:15:49.275659"
"BSchwartz@example1.com","856","281",,,"2020-11-13 14:15:49.372309"
"Juarez@example1.com","855","286",,,"2020-11-13 14:15:49.399687"
"Rita.Martin@example5.com","856","295",,,"2020-11-13 14:15:49.452059"
"DConrad@example1.com","853","299",,,"2020-11-13 14:15:49.476179"
"Cowan@example3.com","855","353",,,"2020-11-13 14:15:49.788816"
"Clifford.Flores@example1.com","856","362",,,"2020-11-13 14:15:49.834504"
"CJefferson@example1.com","855","384",,,"2020-11-13 14:15:49.956035"
"Massey@example1.com","855","392",,,"2020-11-13 14:15:50.002365"
"FBarton@example2.com","853","431",,,"2020-11-13 14:15:50.222096"
"FeliciaBarton@example2.com","855","431",,,"2020-11-13 14:15:50.222940"
"BKoch@example5.com","856","468",,,"2020-11-13 14:15:50.433464"
"CBlanchard@example6.com","856","485",,,"2020-11-13 14:15:50.521613"
"Christina.Blanchard@example2.com","855","485",,,"2020-11-13 14:15:50.522240"
"Hess@example4.com","854","492",,,"2020-11-13 14:15:50.562577"
"Mc Mahon@example1.com","853","506",,,"2020-11-13 14:15:50.635716"
"Holder@example5.com","854","511",,,"2020-11-13 14:15:50.665846"
"Barton@example1.com","853","530",,,"2020-11-13 14:15:51.011941"
"Herring@example1.com","856","562",,,"2020-11-13 14:15:51.216249"
"Harriet.Allison@example1.com","854","571",,,"2020-11-13 14:15:51.263952"
"DDaniels@example1.com","855","612",,,"2020-11-13 14:15:51.501525"
"JBaxter@example1.com","854","652",,,"2020-11-13 14:15:51.730531"
"DChapman@example1.com","853","660",,,"2020-11-13 14:15:52.006790"
"POwens@example1.com","854","664",,,"2020-11-13 14:15:52.031273"
"Foley@example1.com","854","696",,,"2020-11-13 14:15:52.446268"
"Duran@example3.com","854","703",,,"2020-11-13 14:15:52.488077"
"Frederick@example1.com","853","716",,,"2020-11-13 14:15:52.562420"
"KMontgomery@example3.com","855","717",,,"2020-11-13 14:15:52.563914"
"Ware@example3.com","855","727",,,"2020-11-13 14:15:52.624919"
"Eric.White@example1.com","856","734",,,"2020-11-13 14:15:52.665613"
"George.Franco@example1.com","855","736",,,"2020-11-13 14:15:52.673473"
"Greer@example1.com","855","751",,,"2020-11-13 14:15:52.762909"
"Gould@example1.com","854","760",,,"2020-11-13 14:15:52.818289"
"Dianna.Matthews@example2.com","854","764",,,"2020-11-13 14:15:52.844848"
"DiannaMatthews@example2.com","853","764",,,"2020-11-13 14:15:52.845422"
"KBlackburn@example1.com","856","778",,,"2020-11-13 14:15:52.911045"
"RChan@example1.com","854","804",,,"2020-11-13 14:15:53.049086"
"BMatthews@example1.com","855","808",,,"2020-11-13 14:15:53.069915"
"Miles@example1.com","853","815",,,"2020-11-13 14:15:53.325805"
"Santana@example1.com","856","820",,,"2020-11-13 14:15:53.363196"
"Bridges@example2.com","853","851",,,"2020-11-13 14:15:53.528252"
"OBridges@example8.com","855","851",,,"2020-11-13 14:15:53.528921"
"Mullen@example1.com","853","860",,,"2020-11-13 14:15:53.575111"
"MCortez@example1.com","855","884",,,"2020-11-13 14:15:53.704247"
"Calvin.Schwartz@example1.com","854","938",,,"2020-11-13 14:15:54.216679"
"Campos@example1.com","856","988",,,"2020-11-13 14:15:54.496404"
"RZamora@example1.com","854","995",,,"2020-11-13 14:15:54.784397"
"Chung@example1.com","853","1004",,,"2020-11-13 14:15:55.061875"
"EMyers@example1.com","854","1045",,,"2020-11-13 14:15:55.286293"
"Choi@example1.com","853","1060",,,"2020-11-13 14:15:55.371293"
"Mann@example3.com","856","1097",,,"2020-11-13 14:15:55.569890"
"Floyd@example3.com","856","1175",,,"2020-11-13 14:15:55.994035"
"Selena_Kerr@example9.com","854","1188",,,"2020-11-13 14:15:56.155117"
"SKerr@example1.com","853","1188",,,"2020-11-13 14:15:56.155715"
"De Leon@example1.com","855","1189",,,"2020-11-13 14:15:56.157564"
"Zachary.Conrad@example1.com","854","1197",,,"2020-11-13 14:15:56.200541"
"Barker@example3.com","854","1201",,,"2020-11-13 14:15:56.226192"
"Meza@example1.com","856","1225",,,"2020-11-13 14:15:56.582683"
"Rogers@example1.com","853","1233",,,"2020-11-13 14:15:56.628485"
"Adrian.Glover@example1.com","855","1305",,,"2020-11-13 14:15:57.021008"
"Abbott@example1.com","856","1307",,,"2020-11-13 14:15:57.031101"
"Marion.Alvarez@example7.com","855","1319",,,"2020-11-13 14:15:57.090332"
"C.Harrison@example1.com","856","1379",,,"2020-11-13 14:15:57.434603"
