parentusi,telephonenumber,telephonenumbertypedescriptorid,orderofpriority,textmessagecapabilityindicator,donotpublishindicator,createdate
"1","(950) 978 3450","2323","1",,,"2020-11-13 14:15:47.695221"
"3","(950) 959 3641","2328","1",,,"2020-11-13 14:15:47.695238"
"5","(950) 068 2533","2323","1",,,"2020-11-13 14:15:47.725855"
"7","(950) 154 8635","2322",,,,"2020-11-13 14:15:47.733391"
"7","(950) 846 6337","2325","1",,,"2020-11-13 14:15:47.733998"
"8","(950) 992 9160","2326","1",,,"2020-11-13 14:15:47.739615"
"10","(950) 748 8602","2322","1",,,"2020-11-13 14:15:47.755088"
"10","(950) 150 0864","2328",,,,"2020-11-13 14:15:47.755689"
"14","(950) 464 1171","2326",,,,"2020-11-13 14:15:47.777868"
"14","(950) 956 0625","2329","1",,,"2020-11-13 14:15:47.778491"
"16","(950) 413 8737","2328","1",,,"2020-11-13 14:15:47.790528"
"18","(950) 763 8501","2323","1",,,"2020-11-13 14:15:47.800309"
"21","(950) 353 2823","2324","1",,,"2020-11-13 14:15:47.821904"
"23","(950) 354 8081","2329","1",,,"2020-11-13 14:15:47.842325"
"26","(950) 229 8270","2324","1",,,"2020-11-13 14:15:47.847271"
"27","(950) 368 2540","2327","1",,,"2020-11-13 14:15:47.871892"
"30","(950) 242 9951","2322","1",,,"2020-11-13 14:15:47.880316"
"30","(950) 262 7797","2325",,,,"2020-11-13 14:15:47.880921"
"32","(950) 711 1147","2327","1",,,"2020-11-13 14:15:47.894408"
"36","(950) 346 6664","2325","1",,,"2020-11-13 14:15:47.915508"
"38","(950) 156 9642","2322","1",,,"2020-11-13 14:15:47.921456"
"40","(950) 991 0790","2327","1",,,"2020-11-13 14:15:47.936715"
"42","(950) 254 2011","2325","1",,,"2020-11-13 14:15:47.942263"
"44","(950) 840 7267","2326",,,,"2020-11-13 14:15:47.960772"
"44","(950) 168 3213","2329","1",,,"2020-11-13 14:15:47.961272"
"46","(950) 268 5507","2328","1",,,"2020-11-13 14:15:47.964335"
"48","(950) 855 2603","2328","1",,,"2020-11-13 14:15:47.981613"
"50","(950) 040 0417","2322","1",,,"2020-11-13 14:15:47.986791"
"53","(950) 381 0533","2326","1",,,"2020-11-13 14:15:48.007040"
"59","(950) 484 4491","2326","1",,,"2020-11-13 14:15:48.041299"
"64","(950) 212 5544","2325","1",,,"2020-11-13 14:15:48.064118"
"65","(950) 362 8992","2326","1",,,"2020-11-13 14:15:48.074116"
"67","(950) 715 7761","2329","1",,,"2020-11-13 14:15:48.084862"
"67","(950) 428 1963","2328",,,,"2020-11-13 14:15:48.085544"
"70","(950) 828 0356","2325","1",,,"2020-11-13 14:15:48.121777"
"72","(950) 373 0368","2327","1",,,"2020-11-13 14:15:48.129460"
"75","(950) 689 2077","2325","1",,,"2020-11-13 14:15:48.144461"
"76","(950) 802 4913","2324","1",,,"2020-11-13 14:15:48.155525"
"79","(950) 820 0523","2329","1",,,"2020-11-13 14:15:48.168290"
"81","(950) 206 3316","2329","1",,,"2020-11-13 14:15:48.180828"
"87","(950) 435 7131","2328","1",,,"2020-11-13 14:15:48.215837"
"95","(950) 734 7283","2328","1",,,"2020-11-13 14:15:48.261070"
"100","(950) 509 6197","2323",,,,"2020-11-13 14:15:48.290667"
"100","(950) 169 9513","2324","1",,,"2020-11-13 14:15:48.291252"
"103","(950) 406 9670","2329","1",,,"2020-11-13 14:15:48.308873"
"111","(950) 414 3697","2322","1",,,"2020-11-13 14:15:48.351116"
"116","(950) 086 4921","2328",,,,"2020-11-13 14:15:48.376814"
"116","(950) 653 6569","2325","1",,,"2020-11-13 14:15:48.377352"
"120","(950) 956 7595","2322","1",,,"2020-11-13 14:15:48.400255"
"120","(950) 494 3877","2325",,,,"2020-11-13 14:15:48.400920"
"122","(950) 373 5758","2322","1",,,"2020-11-13 14:15:48.420143"
"126","(950) 948 4178","2323","1",,,"2020-11-13 14:15:48.448322"
"128","(950) 555 5537","2324","1",,,"2020-11-13 14:15:48.451606"
"131","(950) 677 9640","2324","1",,,"2020-11-13 14:15:48.471587"
"130","(950) 521 3378","2322",,,,"2020-11-13 14:15:48.471768"
"130","(950) 669 1614","2329","1",,,"2020-11-13 14:15:48.472245"
"133","(950) 947 4330","2327","1",,,"2020-11-13 14:15:48.493136"
"135","(950) 510 9837","2322","1",,,"2020-11-13 14:15:48.507843"
"139","(950) 744 6441","2324","1",,,"2020-11-13 14:15:48.531156"
"141","(950) 194 7921","2328","1",,,"2020-11-13 14:15:48.539041"
"145","(950) 607 3975","2323","1",,,"2020-11-13 14:15:48.557750"
"148","(950) 553 9116","2326","1",,,"2020-11-13 14:15:48.576815"
"158","(950) 476 8394","2327","1",,,"2020-11-13 14:15:48.633551"
"160","(950) 498 0710","2324","1",,,"2020-11-13 14:15:48.640389"
"160","(950) 283 6042","2325",,,,"2020-11-13 14:15:48.640990"
"161","(950) 884 5733","2326","1",,,"2020-11-13 14:15:48.651338"
"162","(950) 122 8509","2326","1",,,"2020-11-13 14:15:48.658955"
"166","(950) 717 4408","2327","1",,,"2020-11-13 14:15:48.679862"
"173","(950) 611 6748","2324","1",,,"2020-11-13 14:15:48.721997"
"175","(950) 162 1199","2329","1",,,"2020-11-13 14:15:48.725683"
"177","(950) 034 5551","2322","1",,,"2020-11-13 14:15:48.742244"
"180","(950) 331 3229","2323","1",,,"2020-11-13 14:15:48.760828"
"181","(950) 135 9316","2324","1",,,"2020-11-13 14:15:48.764217"
"183","(950) 198 0591","2322","1",,,"2020-11-13 14:15:48.785378"
