staffusi,personaltitleprefix,firstname,middlename,lastsurname,generationcodesuffix,maidenname,sexdescriptorid,birthdate,hispaniclatinoethnicity,oldethnicitydescriptorid,citizenshipstatusdescriptorid,highestcompletedlevelofeducationdescriptorid,yearsofpriorprofessionalexperience,yearsofpriorteachingexperience,loginid,highlyqualifiedteacher,personid,sourcesystemdescriptorid,staffuniqueid,discriminator,createdate,lastmodifieddate,id,changeversion
"1","Mr","Alvin","Peter","Lee",,,"2090","1985-09-04","false","1677",,,"14.00",,"alee",,,,"207265","NULL","2020-11-13 14:16:01.087933","2020-11-13 14:16:01.084915","e286a70d-fb3f-477a-9dde-7796f62afe05","10768"
"3","Ms","Marjorie","Elijah","Montoya",,,"2091","1962-08-14","true","1678",,"1588","34.00",,"mmontoya",,,,"207264","NULL","2020-11-13 14:16:01.087933","2020-11-13 14:16:01.084918","51d5511a-1b64-4ed8-a24d-247704c101b5","10770"
"2","Ms","Tamika",,"Mcpherson",,,"2091","1972-05-25","false","1678",,"1591","30.00",,"tmcpherson",,,,"207249","NULL","2020-11-13 14:16:01.088043","2020-11-13 14:16:01.084915","6fdd7f49-7fc9-4be1-a2b9-9ac84f3ab353","10769"
"4","Mr","Barry",,"Tanner",,,"2090","1965-08-19","false","1677",,"1592","30.00",,"btanner",,,,"207288","NULL","2020-11-13 14:16:01.087933","2020-11-13 14:16:01.084915","8e082c3c-1fbd-4974-bb96-73e2ea4446eb","10771"
"5","Mrs","Margaret","Hollie","Massey",,,"2091","1962-10-26","true","1677",,"1588","10.00",,"mmassey",,,,"207263","NULL","2020-11-13 14:16:01.164928","2020-11-13 14:16:01.164783","06509e1c-29d4-4383-8022-931166814749","10772"
"6","Mr","Kurt","Angel","McCarthy",,,"2090","1988-01-24","false","1677",,"1592","24.00",,"kmccarthy",,,,"207247","NULL","2020-11-13 14:16:01.164845","2020-11-13 14:16:01.164770","937c3129-ea88-4bb8-a44c-801d1bfa7a92","10773"
"7","Ms","Diana","Marty","Tanner",,,"2091","1986-09-24","true","1677",,"1591","5.00",,"dtanner",,,,"207248","NULL","2020-11-13 14:16:01.164838","2020-11-13 14:16:01.164654","5affbdda-f517-4aa0-8206-6fc60b3a6968","10774"
"8","Mr","Cody","Sam","West",,,"2090","1962-04-16","false","1678",,"1589","17.00",,"cwest",,,,"207266","NULL","2020-11-13 14:16:01.167713","2020-11-13 14:16:01.167648","c5b6d3cb-7368-42bb-9289-8c8cb1002d54","10775"
"9","Mr","Sheldon",,"Dickson",,,"2090","1966-06-24","true","1678",,"1588","1.00",,"sdickson",,"207284","2092","207284","NULL","2020-11-13 14:16:01.194106","2020-11-13 14:16:01.194007","564837ca-0b9f-497e-94dd-d9b3e6d60600","10776"
"10","Mr","David",,"Wilson",,,"2090","1958-05-02","false","1681",,"1588","18.00",,"dwilson",,,,"207285","NULL","2020-11-13 14:16:01.194565","2020-11-13 14:16:01.194463","b4371a68-ab49-4481-bcce-2aa961d2c532","10777"
"11","Mr","Efrain",,"Rodriguez",,,"2090","1953-04-23","false","1678",,"1591","11.00",,"erodriguez",,,,"207283","NULL","2020-11-13 14:16:01.196699","2020-11-13 14:16:01.196621","1464ea8b-5e6a-48ab-b89a-e224eac3e226","10778"
"12","Mrs","Alisa","Allie","Cameron",,,"2091","1956-03-13","false","1678",,"1591","11.00",,"acameron",,,,"207267","NULL","2020-11-13 14:16:01.198124","2020-11-13 14:16:01.198082","a99884fd-38ad-4b0a-b72c-eb494ad1ae84","10779"
"13",,"Fred",,"Lloyd",,,"2090","1984-06-04","true",,,"1588","20.00","8.00","flloyd","true",,,"207221","NULL","2020-11-13 14:16:01.251203","2020-11-13 14:16:01.251121","1fbfaa6a-e416-465f-ac8d-72454d3246a9","10780"
"14",,"Marsha",,"McLean",,,"2091","1953-05-06","false",,,"1588","10.00","28.00","mmclean","false",,,"207225","NULL","2020-11-13 14:16:01.251275","2020-11-13 14:16:01.251208","5b8b5f7f-8799-4b88-bea9-ded3668c308d","10781"
"15",,"Terrell",,"Bright",,,"2090","1955-11-03","false",,,"1592","6.00","14.00","tbright","true",,,"207222","NULL","2020-11-13 14:16:01.251553","2020-11-13 14:16:01.251415","0f5d1bcf-4080-4a1b-87c0-56c78c7e8004","10782"
