credentialidentifier,staffusi,stateofissuestateabbreviationdescriptorid,createdate
"144173572745","16","2222","2020-11-13 14:16:01.254140"
"154173572745","15","2222","2020-11-13 14:16:01.254124"
"164155587745","13","2222","2020-11-13 14:16:01.254124"
"194192582745","17","2222","2020-11-13 14:16:01.281686"
"204112584743","18","2222","2020-11-13 14:16:01.281883"
"174171575746","19","2222","2020-11-13 14:16:01.282133"
"234183569745","21","2222","2020-11-13 14:16:01.309713"
"214095572746","22","2222","2020-11-13 14:16:01.309872"
"244114581743","24","2222","2020-11-13 14:16:01.314897"
"254161574752","25","2222","2020-11-13 14:16:01.332827"
"264155584745","27","2222","2020-11-13 14:16:01.334756"
"284095576749","28","2222","2020-11-13 14:16:01.344707"
"294111583744","29","2222","2020-11-13 14:16:01.356626"
"304194572749","30","2222","2020-11-13 14:16:01.357597"
"314172589745","31","2222","2020-11-13 14:16:01.360527"
"334191584741","34","2222","2020-11-13 14:16:01.383877"
"324112584746","32","2222","2020-11-13 14:16:01.383877"
"354194578741","35","2222","2020-11-13 14:16:01.390451"
"364215576745","36","2222","2020-11-13 14:16:01.407305"
"384215574749","38","2222","2020-11-13 14:16:01.408714"
"394191572746","39","2222","2020-11-13 14:16:01.413464"
"424111582753","41","2222","2020-11-13 14:16:01.437203"
"414204572747","42","2222","2020-11-13 14:16:01.437759"
"434194587752","43","2222","2020-11-13 14:16:01.446346"
"444114582753","44","2222","2020-11-13 14:16:01.459233"
"454173584752","45","2222","2020-11-13 14:16:01.460821"
"474162582752","47","2222","2020-11-13 14:16:01.472120"
"484175583745","49","2222","2020-11-13 14:16:01.487335"
"494215583753","48","2222","2020-11-13 14:16:01.487315"
"504122581749","50","2222","2020-11-13 14:16:01.495560"
"514194569745","51","2222","2020-11-13 14:16:01.501350"
"534193586749","53","2222","2020-11-13 14:16:01.513458"
"544201582746","54","2222","2020-11-13 14:16:01.520253"
"554115575749","55","2222","2020-11-13 14:16:01.528131"
"574173586752","57","2222","2020-11-13 14:16:01.544109"
"584115586749","58","2222","2020-11-13 14:16:01.549712"
"594164584741","59","2222","2020-11-13 14:16:01.556365"
"604173586742","60","2222","2020-11-13 14:16:01.568981"
"624134574744","62","2222","2020-11-13 14:16:01.574831"
"634165584745","63","2222","2020-11-13 14:16:01.583603"
"644183569743","64","2222","2020-11-13 14:16:01.592595"
"654184582743","65","2222","2020-11-13 14:16:01.594207"
"664141582745","66","2222","2020-11-13 14:16:01.600645"
"674145584741","67","2222","2020-11-13 14:16:01.615194"
"684161587744","68","2222","2020-11-13 14:16:01.630152"
"134115584744","14","2222","2020-11-13 14:16:01.254106"
"184114569744","20","2222","2020-11-13 14:16:01.284207"
"224171576746","23","2222","2020-11-13 14:16:01.311757"
"274194583747","26","2222","2020-11-13 14:16:01.334648"
"344192586753","33","2222","2020-11-13 14:16:01.383877"
"374202572747","37","2222","2020-11-13 14:16:01.407523"
"404212589743","40","2222","2020-11-13 14:16:01.432657"
"464162587741","46","2222","2020-11-13 14:16:01.461156"
"524204582749","52","2222","2020-11-13 14:16:01.510233"
"564193583753","56","2222","2020-11-13 14:16:01.543848"
"614125572740","61","2222","2020-11-13 14:16:01.569021"
