electronicmailaddress,electronicmailtypedescriptorid,staffusi,primaryemailaddressindicator,donotpublishindicator,createdate
"MarjorieMontoya@edfi.org","855","3",,,"2020-11-13 14:16:01.124045"
"TamikaMcpherson@edfi.org","855","2",,,"2020-11-13 14:16:01.124761"
"AlvinLee@edfi.org","855","1",,,"2020-11-13 14:16:01.124641"
"MargaretMassey@edfi.org","855","5",,,"2020-11-13 14:16:01.166403"
"DianaTanner@edfi.org","855","7",,,"2020-11-13 14:16:01.166413"
"CodyWest@edfi.org","855","8",,,"2020-11-13 14:16:01.168996"
"SheldonDickson@edfi.org","855","9",,,"2020-11-13 14:16:01.195617"
"EfrainRodriguez@edfi.org","855","11",,,"2020-11-13 14:16:01.198014"
"AlisaCameron@edfi.org","855","12",,,"2020-11-13 14:16:01.199388"
"JanetReid@edfi.org","855","28",,,"2020-11-13 14:16:01.344755"
"ChadwickGarner@edfi.org","855","42",,,"2020-11-13 14:16:01.437797"
"EstherGallegos@edfi.org","855","44",,,"2020-11-13 14:16:01.459281"
"RussellGomez@edfi.org","855","57",,,"2020-11-13 14:16:01.544154"
"TrentNewton@edfi.org","855","58",,,"2020-11-13 14:16:01.549755"
"BarryTanner@edfi.org","855","4",,,"2020-11-13 14:16:01.124043"
"KurtMcCarthy@edfi.org","855","6",,,"2020-11-13 14:16:01.166404"
"DavidWilson@edfi.org","855","10",,,"2020-11-13 14:16:01.196086"
"SaraPreston@edfi.org","855","56",,,"2020-11-13 14:16:01.543912"
