studentusi,personaltitleprefix,firstname,middlename,lastsurname,generationcodesuffix,maidenname,birthdate,birthcity,birthstateabbreviationdescriptorid,birthinternationalprovince,birthcountrydescriptorid,dateenteredus,multiplebirthstatus,birthsexdescriptorid,citizenshipstatusdescriptorid,personid,sourcesystemdescriptorid,studentuniqueid,discriminator,createdate,lastmodifieddate,id,changeversion
"1","Mrs","Julie","Randi","Randolph",,,"1996-07-22",,,,,,,,,,,"604823","NULL","2020-11-13 14:16:01.752251","2020-11-13 14:16:01.749767","f3d2a1f9-12bb-4b3d-ac7b-c3cc3e4b78b0","10836"
"3","Mr","Tyrone",,"Dyer",,,"2003-11-13",,,,,,,,,,,"604821","NULL","2020-11-13 14:16:01.752251","2020-11-13 14:16:01.749767","4694f685-4d60-4f7b-9d62-e6aa6a6cf3ef","10838"
"6","Mr","Dale",,"Jimenez",,,"2005-08-15",,,,,,,,,,,"604825","NULL","2020-11-13 14:16:01.776101","2020-11-13 14:16:01.776005","a5d1fa1a-81dd-4874-8721-55359ea8f5bc","10841"
"8","Mr","Jeremy","Alexander","Coleman",,,"2005-05-05",,,,,,,,,,,"604826","NULL","2020-11-13 14:16:01.776909","2020-11-13 14:16:01.776803","b22acbb7-35fd-4237-ae83-9a451f1b445f","10843"
"9","Mrs","April",,"Shelton",,,"2004-08-17",,,,,,,,,,,"604829","NULL","2020-11-13 14:16:01.786779","2020-11-13 14:16:01.786720","8f5a727b-10b5-4342-ab76-bc0272dfd23e","10844"
"11","Ms","Beverly","Nanette","Ortiz",,,"2003-04-07",,,,,,,,,,,"604832","NULL","2020-11-13 14:16:01.787686","2020-11-13 14:16:01.787632","36411af3-c30c-407a-a7b0-c14135270505","10846"
"12","Mr","Rick","Jeffery","Owen","Jr",,"1995-09-14",,,,,,,,,,,"604830","NULL","2020-11-13 14:16:01.790470","2020-11-13 14:16:01.790414","b9784603-a243-4ab3-a433-29e9cb2c2cae","10847"
"13","Mr","Dennis","Gabriel","Mac Donald","Jr",,"2003-05-24",,,,,,,,,,,"604833","NULL","2020-11-13 14:16:01.797153","2020-11-13 14:16:01.796990","7c39d4b5-b4d8-4521-b91c-2b6120d84273","10848"
"16","Ms","Diana","Emily","Holt",,,"2005-09-29",,,,,,,,,,,"604835","NULL","2020-11-13 14:16:01.800419","2020-11-13 14:16:01.800371","a7011da5-f614-43bf-bd59-08652ed9fae3","10851"
"17","Mr","Glenn","Max","Gross",,,"2001-12-19",,,,,,,,,,,"604837","NULL","2020-11-13 14:16:01.807786","2020-11-13 14:16:01.807736","b432e181-c283-4c8c-b38c-778cf1406434","10852"
"18","Mr","Brent",,"Hartman",,,"1994-11-29",,,,,,,,,,,"604838","NULL","2020-11-13 14:16:01.807780","2020-11-13 14:16:01.807732","69cd147c-3cf7-4af1-af5c-583267535b5e","10853"
