addresstypedescriptorid,city,educationorganizationid,postalcode,stateabbreviationdescriptorid,streetnumbername,studentusi,apartmentroomsuitenumber,buildingsitenumber,nameofcounty,countyfipscode,latitude,longitude,donotpublishindicator,congressionaldistrict,localedescriptorid,createdate
"90","Grand Bend","255901","78834","2222","54 Rocky Clarendon Avenue","2",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.511575"
"90","Grand Bend","255901","78834","2222","552 Rocky Old Road","1",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.511798"
"90","Grand Bend","255901","78834","2222","263 New Street","3",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.512039"
"90","Grand Bend","255901","78834","2222","22 Oak Way","8",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.547562"
"90","Grand Bend","255901","78834","2222","38 Milton Drive","7",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.547746"
"90","Grand Bend","255901","78834","2222","452 Oak St.","5",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.550828"
"90","Grand Bend","255901","78834","2222","289 East White Old St.","9",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.577836"
"90","Grand Bend","255901","78834","2222","86 Old Blvd.","10",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.578905"
"90","Grand Bend","255901","78834","2222","72 South Green Second Street","11",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.584096"
"90","Grand Bend","255901","78834","2222","828 Rocky Clarendon Parkway","14",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.603455"
"90","Grand Bend","255901","78834","2222","856 South Green Milton Street","16",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.605272"
"90","Grand Bend","255901","78834","2222","81 White Clarendon Way","17",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.623585"
"90","Grand Bend","255901","78834","2222","926 Rocky Fabien Way","19",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.628418"
"90","Grand Bend","255901","78834","2222","78 Rocky Nobel Avenue","21",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.651449"
"90","Grand Bend","255901","78834","2222","16 Green Fabien St.","22",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.652422"
"90","Grand Bend","255901","78834","2222","99 First Way","20",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.671983"
"90","Grand Bend","255901","78834","2222","851 Old St.","24",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.672986"
"90","Grand Bend","255901","78834","2222","83 West Clarendon Parkway","25",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.675452"
"90","Grand Bend","255901","78834","2222","200 Fabien Parkway","27",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.699494"
"90","Grand Bend","255901","78834","2222","62 Nobel Boulevard","28",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.700804"
"90","Grand Bend","255901","78834","2222","97 North White Second Avenue","29",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.708108"
"90","Grand Bend","255901","78834","2222","58 Oak Parkway","32",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.723003"
"90","Grand Bend","255901","78834","2222","79 New Blvd.","33",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.726689"
"90","Grand Bend","255901","78834","2222","17 South Hague Street","34",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.738022"
"90","Grand Bend","255901","78834","2222","411 North Rocky Milton Way","35",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.744928"
"90","Grand Bend","255901","78834","2222","74 Rocky Nobel St.","37",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.751428"
"90","Grand Bend","255901","78834","2222","890 Second Street","38",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.767383"
"90","Grand Bend","255901","78834","2222","316 East Rocky Milton Parkway","40",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.774859"
"90","Grand Bend","255901","78834","2222","724 New St.","41",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.782328"
"90","Grand Bend","255901","78834","2222","706 Fabien Boulevard","42",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.790094"
