addresstypedescriptorid,begindate,city,educationorganizationid,postalcode,stateabbreviationdescriptorid,streetnumbername,studentusi,enddate,createdate
"90","2010-05-19","Grand Bend","255901","78834","2222","99 First Way","20",,"2020-11-13 14:17:28.672038"
"90","1997-01-03","Grand Bend","255901","78834","2222","12 Cowley Avenue","114","2002-02-17","2020-11-13 14:17:29.297930"
"90","2005-09-20","Grand Bend","255901","78834","2222","12 Cowley Avenue","114",,"2020-11-13 14:17:29.298904"
"90","2008-10-01","Grand Bend","255901","78834","2222","45 Green Second Blvd.","198",,"2020-11-13 14:17:30.117797"
"90","2005-01-20","Grand Bend","255901","78834","2222","49 West White Old Blvd.","202","2007-01-31","2020-11-13 14:17:30.148141"
"90","2009-08-07","Grand Bend","255901","78834","2222","49 West White Old Blvd.","202",,"2020-11-13 14:17:30.148907"
"90","2001-07-20","Grand Bend","255901","78834","2222","887 Oak Boulevard","238","2007-01-31","2020-11-13 14:17:30.384582"
"90","2009-08-02","Grand Bend","255901","78834","2222","887 Oak Boulevard","238",,"2020-11-13 14:17:30.385355"
"90","2005-12-20","Grand Bend","255901","78834","2222","478 Hague Parkway","240","2008-05-19","2020-11-13 14:17:30.397496"
"90","2009-06-20","Grand Bend","255901","78834","2222","478 Hague Parkway","240",,"2020-11-13 14:17:30.398256"
"90","2009-02-14","Grand Bend","255901","78834","2222","900 Fabien Street","312",,"2020-11-13 14:17:30.898493"
"91","2008-11-20","Grand Bend","255901","78834","2222","897 Green Cowley Street","354",,"2020-11-13 14:17:31.171363"
"93","2009-11-01","Grand Bend","255901","78834","2222","739 Nobel Avenue","415",,"2020-11-13 14:17:31.576238"
"90","2005-11-25","Grand Bend","255901","78834","2222","58 Old Street","467",,"2020-11-13 14:17:31.916433"
"93","2006-04-03","Grand Bend","255901","78834","2222","89 Rocky Oak Drive","472",,"2020-11-13 14:17:31.944064"
"90","2005-01-18","Grand Bend","255901","78834","2222","35 Hague Freeway","498",,"2020-11-13 14:17:32.105118"
"90","2004-03-09","Grand Bend","255901","78834","2222","347 West Milton Avenue","566",,"2020-11-13 14:17:32.567336"
"85","2003-11-24","Grand Bend","255901","78834","2222","41 Green Fabien Road","690",,"2020-11-13 14:17:33.369991"
"85","2001-04-20","Grand Bend","255901","78834","2222","426 Second Street","703",,"2020-11-13 14:17:33.445605"
"85","2007-01-28","Grand Bend","255901","78834","2222","685 West Cowley Avenue","737",,"2020-11-13 14:17:33.671943"
"85","1996-12-20","Grand Bend","255901","78834","2222","94 Rocky Oak Freeway","770",,"2020-11-13 14:17:33.891243"
"85","1995-08-28","Grand Bend","255901","78834","2222","21 North First Boulevard","833",,"2020-11-13 14:17:34.318809"
"97","2010-03-17","Grand Bend","255901","78834","2222","50 Rocky Second Avenue","844",,"2020-11-13 14:17:34.389115"
