educationorganizationid,electronicmailaddress,electronicmailtypedescriptorid,studentusi,primaryemailaddressindicator,donotpublishindicator,createdate
"255901","tosc.dzre@example.com","854","3",,,"2020-11-13 14:17:28.512085"
"255901","tgsy@example.com","853","1",,,"2020-11-13 14:17:28.512075"
"255901","vevqpza@example.com","856","4",,,"2020-11-13 14:17:28.512065"
"255901","nicvmjrx10@example.com","853","8",,,"2020-11-13 14:17:28.547610"
"255901","cigbiq@example.com","855","6",,,"2020-11-13 14:17:28.547772"
"255901","jrjtnifz.rwxd@example.com","853","6",,,"2020-11-13 14:17:28.548404"
"255901","wvyjt.knbnutqc@example.com","854","5",,,"2020-11-13 14:17:28.550885"
"255901","wtcreww.kmjkyqzyqf@example.com","853","12",,,"2020-11-13 14:17:28.576509"
"255901","mehf2@example.com","855","9",,,"2020-11-13 14:17:28.577883"
"255901","xzexqe06@example.com","854","11",,,"2020-11-13 14:17:28.584171"
"255901","uwgfmff@example.com","856","13",,,"2020-11-13 14:17:28.600175"
"255901","sjkncnjz7@example.com","856","14",,,"2020-11-13 14:17:28.603587"
"255901","vdcgoqtb2@example.com","855","15",,,"2020-11-13 14:17:28.609808"
"255901","oahoql.xsgdylrm@example.com","855","17",,,"2020-11-13 14:17:28.623658"
"255901","kvwnit.gmppaqb@example.com","853","17",,,"2020-11-13 14:17:28.624301"
"255901","hylpi@example.com","854","18",,,"2020-11-13 14:17:28.626318"
"255901","ggsz002@example.com","855","21",,,"2020-11-13 14:17:28.651507"
"255901","mntcz.nqszfxivxg@example.com","853","23",,,"2020-11-13 14:17:28.653397"
"255901","pgrsqvzp.hmhavcoric@example.com","856","26",,,"2020-11-13 14:17:28.673116"
"255901","otcfbxv.bgsiai@example.com","856","20",,,"2020-11-13 14:17:28.672786"
"255901","bbafzrr5@example.com","855","25",,,"2020-11-13 14:17:28.675490"
"255901","zxzb.yywdmvupi@example.com","854","25",,,"2020-11-13 14:17:28.676137"
"255901","eobb.ntcxbxrtw@example.com","856","28",,,"2020-11-13 14:17:28.700906"
"255901","jkogdtef3@example.com","853","28",,,"2020-11-13 14:17:28.701515"
"255901","fxqyulq.vpgs@example.com","855","30",,,"2020-11-13 14:17:28.704017"
"255901","kwcdn.nazqodn@example.com","855","29",,,"2020-11-13 14:17:28.708157"
"255901","eehkffkv.gdbcbprs@example.com","853","29",,,"2020-11-13 14:17:28.710024"
"255901","ygotxht.wwwa@example.com","856","31",,,"2020-11-13 14:17:28.723095"
"255901","oyhqys.hhvjhzog@example.com","854","33",,,"2020-11-13 14:17:28.726739"
"255901","aezkloi@example.com","855","35",,,"2020-11-13 14:17:28.744987"
"255901","obwqkpmj284@example.com","855","36",,,"2020-11-13 14:17:28.747505"
"255901","xcxvdg.sshpzncp@example.com","853","39",,,"2020-11-13 14:17:28.771508"
"255901","xyicay.jmtxwiw@example.com","854","40",,,"2020-11-13 14:17:28.774904"
"255901","igjcbuss18@example.com","853","41",,,"2020-11-13 14:17:28.782399"
"255901","atffphou425@example.com","856","44",,,"2020-11-13 14:17:28.798637"
"255901","mqlqmrqb76@example.com","854","43",,,"2020-11-13 14:17:28.798597"
"255901","tujz.ceaofbyg@example.com","855","45",,,"2020-11-13 14:17:28.816638"
"255901","fdasgk0@example.com","853","47",,,"2020-11-13 14:17:28.828405"
"255901","lxmdfhr.yiogzg@example.com","856","48",,,"2020-11-13 14:17:28.830509"
"255901","unvxc.osvyrzk@example.com","855","49",,,"2020-11-13 14:17:28.841770"
"255901","hjpeqt33@example.com","854","50",,,"2020-11-13 14:17:28.845935"
"255901","sunxhct96@example.com","856","52",,,"2020-11-13 14:17:28.852154"
"255901","pbwqqiz9@example.com","855","51",,,"2020-11-13 14:17:28.856050"
"255901","ynckoqcz.winuikzv@example.com","854","51",,,"2020-11-13 14:17:28.856684"
"255901","aitrca.xbfhyxhlc@example.com","854","53",,,"2020-11-13 14:17:28.869231"
"255901","sqgnjfvq8@example.com","854","54",,,"2020-11-13 14:17:28.872469"
"255901","vhxk7@example.com","855","55",,,"2020-11-13 14:17:28.880101"
"255901","dorer546@example.com","856","56",,,"2020-11-13 14:17:28.884493"
"255901","ybwinufd.skwt@example.com","853","56",,,"2020-11-13 14:17:28.885138"
"255901","efwmidbl@example.com","856","57",,,"2020-11-13 14:17:28.896483"
"255901","hfeuxoi.drha@example.com","853","57",,,"2020-11-13 14:17:28.897180"
"255901","ueeq18@example.com","856","58",,,"2020-11-13 14:17:28.900371"
"255901","pswwpj@example.com","854","58",,,"2020-11-13 14:17:28.900981"
"255901","omau.kdrynz@example.com","854","59",,,"2020-11-13 14:17:28.906578"
"255901","uzvlxo.iakxher@example.com","856","60",,,"2020-11-13 14:17:28.912488"
"255901","pxif@example.com","854","60",,,"2020-11-13 14:17:28.913138"
"255901","owntvyj.hwpdcvq@example.com","855","61",,,"2020-11-13 14:17:28.927164"
"255901","oaqm@example.com","856","62",,,"2020-11-13 14:17:28.931560"
"255901","aiil75@example.com","853","62",,,"2020-11-13 14:17:28.932411"
"255901","ctxakx.irmokfx@example.com","855","63",,,"2020-11-13 14:17:28.936961"
"255901","cyerwrgp.mzswrcnx@example.com","854","64",,,"2020-11-13 14:17:28.941020"
"255901","vgjfce76@example.com","853","65",,,"2020-11-13 14:17:28.961919"
"255901","nogn5@example.com","853","67",,,"2020-11-13 14:17:28.962788"
"255901","yjruxybk.mniwzdtj@example.com","856","68",,,"2020-11-13 14:17:28.971033"
"255901","tnktp.adqdhdpilq@example.com","856","66",,,"2020-11-13 14:17:28.971705"
"255901","hzgy570@example.com","853","66",,,"2020-11-13 14:17:28.972380"
"255901","wamu2@example.com","855","70",,,"2020-11-13 14:17:28.988676"
"255901","mgitm.bwxswhfwy@example.com","855","71",,,"2020-11-13 14:17:28.997536"
"255901","yzbamcq4@example.com","855","72",,,"2020-11-13 14:17:29.010070"
"255901","higgins05@example.com","856","73",,,"2020-11-13 14:17:29.010204"
"255901","vmrearcl@example.com","854","72",,,"2020-11-13 14:17:29.010657"
"255901","qmlfueu.xftsb@example.com","855","79",,,"2020-11-13 14:17:29.032815"
"255901","nysrrixt.vqzkir@example.com","853","77",,,"2020-11-13 14:17:29.032847"
"255901","dmem.baqc@example.com","856","78",,,"2020-11-13 14:17:29.048672"
"255901","pmtqvvlt.uccfur@example.com","856","80",,,"2020-11-13 14:17:29.056351"
"255901","hzqkpy37@example.com","853","81",,,"2020-11-13 14:17:29.069384"
"255901","dxqpty.egbrpiwv@example.com","854","83",,,"2020-11-13 14:17:29.073992"
"255901","kwubifod788@example.com","855","84",,,"2020-11-13 14:17:29.082901"
"255901","uxvojbgn8@example.com","853","85",,,"2020-11-13 14:17:29.092565"
"255901","mgxgoch.tkjwje@example.com","855","87",,,"2020-11-13 14:17:29.108071"
"255901","hbmmkefo.vtwsgbdjnx@example.com","854","87",,,"2020-11-13 14:17:29.108728"
"255901","hglck8@example.com","856","88",,,"2020-11-13 14:17:29.113126"
"255901","mpqhchca@example.com","854","89",,,"2020-11-13 14:17:29.122239"
"255901","vdthww.msiwajptw@example.com","853","91",,,"2020-11-13 14:17:29.134416"
"255901","hubyrvlv.kjixyxyxgp@example.com","854","92",,,"2020-11-13 14:17:29.141144"
"255901","maymayy159@example.com","853","93",,,"2020-11-13 14:17:29.147901"
"255901","novic.svcbwxhzne@example.com","854","94",,,"2020-11-13 14:17:29.149065"
"255901","gtgd447@example.com","856","95",,,"2020-11-13 14:17:29.161754"
"255901","bqinvds.wzjkblepol@example.com","853","95",,,"2020-11-13 14:17:29.162538"
"255901","gozf051@example.com","853","96",,,"2020-11-13 14:17:29.167125"
"255901","nmzwkl.aaamzwfju@example.com","854","97",,,"2020-11-13 14:17:29.173180"
"255901","vyiyknsg1@example.com","856","98",,,"2020-11-13 14:17:29.174670"
"255901","ultnacia.vogjlgd@example.com","854","98",,,"2020-11-13 14:17:29.175323"
"255901","halfmqk@example.com","856","100",,,"2020-11-13 14:17:29.192128"
"255901","jmrdvdjy@example.com","853","100",,,"2020-11-13 14:17:29.192777"
"255901","daid42@example.com","853","101",,,"2020-11-13 14:17:29.196721"
"255901","diurnhf.tavkji@example.com","855","103",,,"2020-11-13 14:17:29.214306"
