assigningorganizationidentificationcode,educationorganizationid,studentidentificationsystemdescriptorid,studentusi,identificationcode,createdate
"Local","255901","2249","4","824","2020-11-13 14:17:28.515289"
"Local","255901","2249","3","821","2020-11-13 14:17:28.515219"
"SSN","255901","2253","4","1990607651","2020-11-13 14:17:28.516429"
"SSN","255901","2253","3","1304682336","2020-11-13 14:17:28.516436"
"Local","255901","2249","1","823","2020-11-13 14:17:28.516910"
"Local","255901","2249","2","822","2020-11-13 14:17:28.516954"
"SSN","255901","2253","2","9343262721","2020-11-13 14:17:28.517546"
"SSN","255901","2253","1","4067595415","2020-11-13 14:17:28.517495"
"Local","255901","2249","8","826","2020-11-13 14:17:28.548836"
"Local","255901","2249","7","828","2020-11-13 14:17:28.549150"
"SSN","255901","2253","8","4104488374","2020-11-13 14:17:28.549330"
"SSN","255901","2253","7","6658375829","2020-11-13 14:17:28.549654"
"Local","255901","2249","6","825","2020-11-13 14:17:28.550277"
"SSN","255901","2253","6","6497843597","2020-11-13 14:17:28.550711"
"Local","255901","2249","5","827","2020-11-13 14:17:28.552064"
"SSN","255901","2253","5","2083165814","2020-11-13 14:17:28.552655"
"Local","255901","2249","12","830","2020-11-13 14:17:28.577688"
"SSN","255901","2253","12","6428692368","2020-11-13 14:17:28.578292"
"Local","255901","2249","9","829","2020-11-13 14:17:28.579011"
"SSN","255901","2253","9","4513226233","2020-11-13 14:17:28.579471"
"Local","255901","2249","10","831","2020-11-13 14:17:28.580112"
"SSN","255901","2253","10","9131833832","2020-11-13 14:17:28.580556"
"Local","255901","2249","11","832","2020-11-13 14:17:28.586967"
"SSN","255901","2253","11","6798320983","2020-11-13 14:17:28.587386"
"Local","255901","2249","13","833","2020-11-13 14:17:28.601539"
"SSN","255901","2253","13","8029834286","2020-11-13 14:17:28.602092"
"Local","255901","2249","14","834","2020-11-13 14:17:28.605853"
"SSN","255901","2253","14","5047485360","2020-11-13 14:17:28.606558"
"Local","255901","2249","16","835","2020-11-13 14:17:28.607696"
"SSN","255901","2253","16","8662693494","2020-11-13 14:17:28.608183"
"Local","255901","2249","15","836","2020-11-13 14:17:28.611129"
"SSN","255901","2253","15","2281314003","2020-11-13 14:17:28.611549"
"Local","255901","2249","17","837","2020-11-13 14:17:28.625808"
"SSN","255901","2253","17","1382712733","2020-11-13 14:17:28.626210"
"Local","255901","2249","18","838","2020-11-13 14:17:28.627357"
"SSN","255901","2253","18","1217295173","2020-11-13 14:17:28.627790"
"Local","255901","2249","19","839","2020-11-13 14:17:28.629594"
"SSN","255901","2253","19","8426383453","2020-11-13 14:17:28.630016"
"Local","255901","2249","21","841","2020-11-13 14:17:28.653366"
"Local","255901","2249","22","842","2020-11-13 14:17:28.653530"
"SSN","255901","2253","21","3782873077","2020-11-13 14:17:28.653838"
"SSN","255901","2253","22","8474662629","2020-11-13 14:17:28.653954"
"Local","255901","2249","23","843","2020-11-13 14:17:28.654432"
"SSN","255901","2253","23","4378760882","2020-11-13 14:17:28.654842"
"Local","255901","2249","26","844","2020-11-13 14:17:28.674113"
"Local","255901","2249","20","840","2020-11-13 14:17:28.674160"
"Local","255901","2249","24","846","2020-11-13 14:17:28.674185"
"SSN","255901","2253","26","7496892830","2020-11-13 14:17:28.674542"
"SSN","255901","2253","20","2306854463","2020-11-13 14:17:28.674549"
"SSN","255901","2253","24","8549302259","2020-11-13 14:17:28.674585"
"Local","255901","2249","25","845","2020-11-13 14:17:28.677687"
"SSN","255901","2253","25","6057883390","2020-11-13 14:17:28.678176"
"Local","255901","2249","27","847","2020-11-13 14:17:28.700808"
"SSN","255901","2253","27","2445826196","2020-11-13 14:17:28.701314"
"Local","255901","2249","28","849","2020-11-13 14:17:28.703060"
