educationorganizationid,studentusi,telephonenumber,telephonenumbertypedescriptorid,orderofpriority,textmessagecapabilityindicator,donotpublishindicator,createdate
"255901","3","(950) 771 8064","2323","1",,,"2020-11-13 14:17:28.516478"
"255901","3","(950) 139 9597","2322","1",,,"2020-11-13 14:17:28.517759"
"255901","8","(950) 700 3889","2322","1",,,"2020-11-13 14:17:28.549348"
"255901","11","(950) 101 2630","2322","1",,,"2020-11-13 14:17:28.587398"
"255901","14","(950) 145 9385","2322",,,,"2020-11-13 14:17:28.606589"
"255901","14","(950) 611 6583","2326","1",,,"2020-11-13 14:17:28.607862"
"255901","17","(950) 098 0909","2322",,,,"2020-11-13 14:17:28.626242"
"255901","17","(950) 014 6151","2328","1",,,"2020-11-13 14:17:28.626916"
"255901","21","(950) 786 0579","2322","1",,,"2020-11-13 14:17:28.653869"
"255901","20","(950) 541 4239","2323",,,,"2020-11-13 14:17:28.674579"
"255901","20","(950) 130 0691","2322","1",,,"2020-11-13 14:17:28.675304"
"255901","29","(950) 872 8605","2328","1",,,"2020-11-13 14:17:28.712714"
"255901","33","(950) 212 2880","2322","1",,,"2020-11-13 14:17:28.729227"
"255901","35","(950) 250 4268","2326",,,,"2020-11-13 14:17:28.746929"
"255901","35","(950) 947 6228","2328","1",,,"2020-11-13 14:17:28.747688"
"255901","40","(950) 587 4457","2326","1",,,"2020-11-13 14:17:28.776445"
"255901","41","(950) 334 9536","2322","1",,,"2020-11-13 14:17:28.786291"
"255901","41","(950) 513 8662","2326",,,,"2020-11-13 14:17:28.787072"
"255901","44","(950) 487 4328","2322",,,,"2020-11-13 14:17:28.800681"
"255901","44","(950) 051 7395","2326","1",,,"2020-11-13 14:17:28.801519"
"255901","45","(950) 211 2517","2328","1",,,"2020-11-13 14:17:28.818390"
"255901","47","(950) 889 5646","2322",,,,"2020-11-13 14:17:28.830089"
"255901","47","(950) 046 9070","2326","1",,,"2020-11-13 14:17:28.830818"
"255901","51","(950) 688 6413","2326","1",,,"2020-11-13 14:17:28.859231"
"255901","53","(950) 020 9042","2322","1",,,"2020-11-13 14:17:28.870834"
"255901","53","(950) 542 9619","2326",,,,"2020-11-13 14:17:28.871529"
"255901","55","(950) 165 2439","2322","1",,,"2020-11-13 14:17:28.883167"
"255901","55","(950) 761 0786","2328",,,,"2020-11-13 14:17:28.883940"
"255901","58","(950) 516 0973","2322",,,,"2020-11-13 14:17:28.903278"
"255901","58","(950) 741 0514","2326","1",,,"2020-11-13 14:17:28.905235"
"255901","60","(950) 562 7213","2328","1",,,"2020-11-13 14:17:28.915900"
"255901","64","(950) 694 7403","2328","1",,,"2020-11-13 14:17:28.942841"
"255901","68","(950) 146 4726","2328","1",,,"2020-11-13 14:17:28.972772"
"255901","70","(950) 802 2627","2322","1",,,"2020-11-13 14:17:28.990425"
"255901","72","(950) 104 1990","2328","1",,,"2020-11-13 14:17:29.012732"
"255901","79","(950) 018 0714","2326","1",,,"2020-11-13 14:17:29.034432"
"255901","79","(950) 259 4248","2328",,,,"2020-11-13 14:17:29.035110"
"255901","80","(950) 224 3156","2326","1",,,"2020-11-13 14:17:29.058020"
"255901","83","(950) 232 7299","2322",,,,"2020-11-13 14:17:29.076848"
"255901","83","(950) 006 8745","2326","1",,,"2020-11-13 14:17:29.078911"
"255901","87","(950) 677 3887","2322",,,,"2020-11-13 14:17:29.110804"
"255901","87","(950) 565 7047","2326","1",,,"2020-11-13 14:17:29.111456"
"255901","89","(950) 664 6737","2322","1",,,"2020-11-13 14:17:29.123975"
"255901","93","(950) 121 8779","2323",,,,"2020-11-13 14:17:29.150942"
"255901","93","(950) 011 8505","2322","1",,,"2020-11-13 14:17:29.151613"
"255901","96","(950) 040 2751","2328","1",,,"2020-11-13 14:17:29.168948"
"255901","98","(950) 434 7904","2326","1",,,"2020-11-13 14:17:29.177347"
"255901","101","(950) 586 1596","2326","1",,,"2020-11-13 14:17:29.198436"
"255901","103","(950) 510 9901","2326","1",,,"2020-11-13 14:17:29.215955"
"255901","107","(950) 064 8122","2322","1",,,"2020-11-13 14:17:29.245291"
"255901","110","(950) 410 6840","2322","1",,,"2020-11-13 14:17:29.272831"
"255901","116","(950) 638 2703","2322","1",,,"2020-11-13 14:17:29.305966"
"255901","116","(950) 897 4046","2326",,,,"2020-11-13 14:17:29.308055"
"255901","118","(950) 678 8343","2322","1",,,"2020-11-13 14:17:29.328138"
"255901","123","(950) 534 4511","2322","1",,,"2020-11-13 14:17:29.354624"
"255901","123","(950) 497 7839","2326",,,,"2020-11-13 14:17:29.355305"
"255901","127","(950) 164 5629","2322","1",,,"2020-11-13 14:17:29.383121"
"255901","131","(950) 612 9434","2322","1",,,"2020-11-13 14:17:29.409084"
"255901","140","(950) 805 4455","2322","1",,,"2020-11-13 14:17:29.467088"
"255901","142","(950) 904 2551","2322","1",,,"2020-11-13 14:17:29.483399"
"255901","144","(950) 665 8906","2322","1",,,"2020-11-13 14:17:29.497688"
"255901","148","(950) 516 4139","2322","1",,,"2020-11-13 14:17:29.522916"
"255901","151","(950) 187 3802","2328","1",,,"2020-11-13 14:17:29.540649"
"255901","151","(950) 812 9463","2327",,,,"2020-11-13 14:17:29.541420"
